featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
1593,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,80888.04000000001,918456.4533333334,5.963058569977298
1594,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,39225.282999999996,156716.44466666668,5.195114570516271
1595,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,52235.162,272179.07666666666,5.4348547364533895
1597,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,53088.018,634574.2433333334,5.802482440589455
1598,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,26869.6165,132069.08166666667,5.120801158014298
1600,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",210146.76,2160995.8666666667,6.334653936209675
1602,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,530239.275,2171488.7,6.336757573721083
1603,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",1031053955,2692203776.6666665,9.430107929152415
1615,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,2952201,8586459.833333334,6.933814142672628
1616,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,74327.8175,358191.18666666665,5.554114895781236
1617,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",520043.54500000004,2466976.7666666666,6.392165059438672
1618,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,87828.2485,263615.89,5.420971584720641
1619,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,67092.09,286473.05666666664,5.457083782005887
1620,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",49389.148499999996,471602.6133333333,5.6735762030242
1621,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",47815.807,298676.24666666664,5.4752006851023225
1622,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",135590.705,216393.71333333332,5.335244639501527
1623,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",120690.273,414648.72,5.617680329074918
1624,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",426545.425,826171.8666666667,5.917070402018621
1625,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,60981.11,312765.45666666667,5.495218781448333
1626,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",152253.63199999998,565121.4633333333,5.7521418021310495
1627,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",38739.335,373704.3333333333,5.572528133792489
1628,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",160288.595,556992.2466666667,5.745849149835634
1630,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",1371330,2821238.033333333,6.45043972997033
1633,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",649781.0900000001,1000220.4333333333,6.0000957224304745
1634,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,0,162452.50233333334,5.210726405377454
1635,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,288775.54500000004,459894.79333333333,5.662658492767335
1636,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,165280.56,466385.49,5.6687450303638265
1637,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,34512.402,135113.40533333333,5.130698439869373
1639,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,312255.31000000006,482763.1066666667,5.683734073390303
1640,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,426785.75,885090.54,5.946987698959021
1655,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,812634.525,1523129.0333333334,6.182736696567103
1656,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,586803.3350000001,1792228,6.253393258028785
1657,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,51584.237,176375.00666666665,5.246437043177976
1659,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,34646.34,171510.90666666668,5.234291742772601
1714,8114,Organoheterocyclic compounds,Triazines,Aminotriazines,NA,668086.225,2581181.9,6.411818611046244
1729,4975,Lipids and lipid-like molecules,Prenol lipids,NA,NA,32020.805,133444.27666666667,5.125299951931042
1730,4975,Lipids and lipid-like molecules,Prenol lipids,NA,NA,35198.089,105326.65333333334,5.02253828505887
1755,3226,Unknown,NA,NA,NA,0,348579.06999999995,5.542301306880707
1756,3226,Unknown,NA,NA,NA,0,476182.49666666664,5.677773427732473
1757,3226,Unknown,NA,NA,NA,0,231163.64333333334,5.363919530694385
1758,3226,Unknown,NA,NA,NA,0,137702.77,5.138942676521377
1760,3226,Unknown,NA,NA,NA,0,151170.82666666666,5.1794679879897005
1784,3226,Unknown,NA,NA,NA,56029.519499999995,44822.888666666666,4.651499841747627
1833,14422,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,125315.2875,248404.30333333332,5.3951591152474245
1848,1500,Organoheterocyclic compounds,Azoles,NA,NA,0,136350.098,5.1346554544217184
2019,6004,Unknown,NA,NA,NA,0,202368.17333333334,5.306142211564175
2020,6004,Unknown,NA,NA,NA,0,67001.406,4.826083916307315
2021,6004,Unknown,NA,NA,NA,981.36595,344926.49333333335,5.5377265532151325
2022,6004,Unknown,NA,NA,NA,0,479545.62333333335,5.680829931672158
2023,6004,Unknown,NA,NA,NA,0,213716.96166666667,5.329838991354119
2095,841,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Acadesine,241605.49,528425.2933333333,5.722983597156335
2108,4354,Lipids and lipid-like molecules,Fatty Acyls,NA,HarmalolHCl2H2O///harmalol///Harmalol,39139.795,216987.31666666668,5.3364343492279716
2109,4354,Lipids and lipid-like molecules,Fatty Acyls,NA,HarmalolHCl2H2O///harmalol///Harmalol,39276.314,194726.15666666668,5.28942429221349
2119,126,Lipids and lipid-like molecules,NA,NA,NA,47705.471,26747.126666666667,4.427277134400767
2120,1232,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,28760.324999999997,110131.49666666667,5.0419115412454225
2123,126,Lipids and lipid-like molecules,NA,NA,NA,34648.828499999996,68137.203,4.833384302014403
2125,126,Lipids and lipid-like molecules,NA,NA,NA,28984.82,114795.02233333334,5.059923056876989
2126,1438,Unknown,NA,NA,NA,33813.9305,153279.24333333335,5.1854833478346185
2127,1438,Unknown,NA,NA,NA,28785.5395,75347.26666666666,4.877067502262927
2143,702,Unknown,NA,NA,NA,27531.678,256114.75,5.408434590804017
2147,702,Unknown,NA,NA,NA,41451.633,227139.72,5.356293086084381
2149,702,Unknown,NA,NA,NA,94318.713,631559.8333333334,5.80041450145596
2150,702,Unknown,NA,NA,NA,45864.007,96469.92366666667,4.984391934882112
2159,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,72515.4815,2142388.02,6.330898131147378
2160,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,18008.335,2098662.466666667,6.321942595489677
2161,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,77392.826,4031006.533333333,6.605413502044968
2162,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,0,82005.92666666667,4.913845240500998
2163,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,23440.3135,425861.24,5.6292681143162016
